 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.81305083E+00      2.51552105E-01      2.20559701E-02

 Point O:
    1.81305083E+00      2.51552105E-01      2.20559701E-02
 $parameters
repart = 2
distxo = 1.13610491
pntrat = 0.20000000
nptseg(1) =273
deltp1(1) = 0.0012500
deltpn(1) = 0.0012500
npr(1) = 16
deltr1(1) = 0.0020000
deltrn(1) = 0.0150000
npr(2) = 11
deltr1(2) =-0.0050000
deltrn(2) =-0.0500000
tgarde(1) = 0.00000
tgarde(2) = 0.00000
nrelax=  500
relax= 1.0000E-01
pasmin= 1.0000E-02
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    2
'region:'    1
'nppol='  273  'nprad='   16
  1.81305083E+00  2.51552105E-01  2.20559701E-02 -8.67227607E-01 -2.52862944E-02
  1.81315315E+00  2.48495765E-01  2.20558584E-02 -8.67063694E-01 -2.67289171E-02
  1.81332963E+00  2.43224576E-01  2.20557916E-02 -8.66780745E-01 -2.92187551E-02
  1.81357918E+00  2.35770754E-01  2.20559688E-02 -8.66380087E-01 -3.27434117E-02
  1.81398381E+00  2.26169656E-01  2.20557067E-02 -8.65759579E-01 -3.72671150E-02
  1.81452552E+00  2.14453274E-01  2.20556168E-02 -8.64943548E-01 -4.27848909E-02
  1.81525769E+00  2.00656622E-01  2.20556102E-02 -8.63866674E-01 -4.92748098E-02
  1.81623299E+00  1.84815638E-01  2.20555039E-02 -8.62464419E-01 -5.67224929E-02
  1.81750381E+00  1.66967202E-01  2.20551893E-02 -8.60681904E-01 -6.51131490E-02
  1.81801709E+00  1.60332267E-01  2.20553539E-02 -8.59969561E-01 -6.82344367E-02
  1.81911749E+00  1.47148743E-01  2.20555073E-02 -8.58455068E-01 -7.44416336E-02
  1.82111445E+00  1.25397957E-01  2.20558446E-02 -8.55731954E-01 -8.47172632E-02
  1.82362617E+00  1.01762858E-01  2.20542018E-02 -8.52380906E-01 -9.58533508E-02
  1.82507511E+00  8.92502039E-02  2.20544052E-02 -8.50474759E-01 -1.01729644E-01
  1.82745807E+00  7.02761973E-02  2.20543270E-02 -8.47386610E-01 -1.10599336E-01
  1.83035551E+00  4.90065944E-02  2.20542961E-02 -8.43576387E-01 -1.20518010E-01
  1.83245970E+00  3.47108898E-02  2.20535093E-02 -8.40833023E-01 -1.27159556E-01
  1.83475544E+00  1.99857877E-02  2.20529111E-02 -8.37876711E-01 -1.33989354E-01
  1.83725275E+00  4.83802487E-03  2.20551634E-02 -8.34702154E-01 -1.41002841E-01
  1.84101555E+00 -1.67112699E-02  2.20517481E-02 -8.30323644E-01 -1.50967501E-01
  1.84603756E+00 -4.30737104E-02  2.20527088E-02 -8.24631941E-01 -1.63039575E-01
  1.84943386E+00 -5.98422416E-02  2.20513928E-02 -8.20714635E-01 -1.70683615E-01
  1.85308697E+00 -7.69956431E-02  2.20518905E-02 -8.16503149E-01 -1.78464629E-01
  1.85701204E+00 -9.45247908E-02  2.20553089E-02 -8.12028630E-01 -1.86379115E-01
  1.86121085E+00 -1.12423212E-01  2.20557576E-02 -8.07294341E-01 -1.94445761E-01
  1.86573328E+00 -1.30672556E-01  2.20553052E-02 -8.02265947E-01 -2.02611517E-01
  1.87054465E+00 -1.49274632E-01  2.20486122E-02 -7.97148423E-01 -2.10904952E-01
  1.87567610E+00 -1.68215015E-01  2.20534117E-02 -7.91648592E-01 -2.19287685E-01
  1.88113518E+00 -1.87484778E-01  2.20489780E-02 -7.85389682E-01 -2.27779115E-01
  1.88693294E+00 -2.07073905E-01  2.20557588E-02 -7.78881506E-01 -2.36338737E-01
  1.89312169E+00 -2.26959103E-01  2.20546184E-02 -7.72175027E-01 -2.44931222E-01
  1.90024740E+00 -2.48859222E-01  2.20423696E-02 -7.64517531E-01 -2.54309955E-01
