 output format:carre71 


 Number of X-points:  2
    x                   y                   psi
    1.41074547E+00      1.17056252E+00     -1.33810026E-01
    1.42196707E+00     -9.53296749E-01     -1.64626841E-05

 Point O:
    1.72735333E+00      1.03122777E-01      5.66017896E-01
 X-points are not connected.


 $parameters
repart = 2
distxo = 1.09967404
pntrat = 0.26051983
nptseg(1) = 21
deltp1(1) = 0.0246086
deltpn(1) = 0.0030182
nptseg(2) = 17
deltp1(2) = 0.0161549
deltpn(2) = 0.0019814
nptseg(3) = 59
deltp1(3) = 0.0145638
deltpn(3) = 0.0145638
nptseg(4) = 51
deltp1(4) = 0.0189384
deltpn(4) = 0.0189384
nptseg(5) = 25
deltp1(5) = 0.0613322
deltpn(5) = 0.0018400
nptseg(6) = 20
deltp1(6) = 0.0490601
deltpn(6) = 0.0014719
npr(1) = 10
deltr1(1) =-0.0119978
deltrn(1) =-0.0057768
npr(2) = 10
deltr1(2) =-0.0015144
deltrn(2) =-0.0702194
npr(3) = 10
deltr1(3) = 0.0036325
deltrn(3) = 0.0026455
npr(4) = 10
deltr1(4) =-0.0017259
deltrn(4) =-0.0120110
npr(5) = 10
deltr1(5) = 0.0030601
deltrn(5) = 0.0230941
npr(6) = 10
deltr1(6) = 0.0126989
deltrn(6) = 0.0126989
tgarde(1) = 0.00000
tgarde(2) = 0.00000
tgarde(3) = 0.00000
tgarde(4) = 0.00000
nrelax= 5000
relax= 1.0000E-02
pasmin= 1.0000E-03
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    6
'region:'    1
'nppol='  152  'nprad='   10
  1.69998770E+00 -1.32024748E+00  2.95586871E-06 -1.66916753E+00 -1.33577616E+00
  1.69884106E+00 -1.31880852E+00 -1.16007812E-06 -1.66147911E+00 -1.32978688E+00
  1.69199830E+00 -1.31022831E+00 -3.45565722E-06 -1.61595618E+00 -1.29423051E+00
  1.67992203E+00 -1.29509063E+00 -1.63235392E-05 -1.53685114E+00 -1.23206701E+00
  1.66300070E+00 -1.27404066E+00 -9.65780303E-06 -1.42886702E+00 -1.14677385E+00
  1.64172002E+00 -1.24764235E+00 -5.33336787E-06 -1.29705386E+00 -1.04171819E+00
  1.60358916E+00 -1.20001614E+00 -2.99459282E-05 -1.06990096E+00 -8.57255080E-01
  1.58827450E+00 -1.18087175E+00 -9.91171906E-06 -9.81554555E-01 -7.84817154E-01
  1.58060339E+00 -1.17140228E+00  3.49392038E-06 -9.37964768E-01 -7.49380957E-01
  1.57373362E+00 -1.16275507E+00  6.47072634E-06 -8.98968151E-01 -7.17170189E-01
  1.56716908E+00 -1.15461099E+00  2.00151908E-05 -8.62121826E-01 -6.87018044E-01
  1.55698074E+00 -1.14171160E+00 -1.25176626E-05 -8.05015149E-01 -6.39444793E-01
  1.54913270E+00 -1.13184377E+00  3.78260526E-06 -7.61383669E-01 -6.03322156E-01
  1.53713437E+00 -1.11681551E+00  6.86795806E-06 -6.95117834E-01 -5.48741013E-01
  1.53130875E+00 -1.10916524E+00  1.34387060E-05 -6.62726247E-01 -5.20898307E-01
