 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.46695054E+00     -9.28289720E-01     -7.86542911E-05

 Point O:
    1.69550726E+00      1.08526233E-01      2.93462173E-01
 $parameters
repart = 2
distxo = 1.06170876
pntrat = 0.19927342
nptseg(1) = 66
deltp1(1) = 0.0050000
deltpn(1) = 0.0010000
nptseg(2) = 78
deltp1(2) = 0.0050000
deltpn(2) = 0.0010000
nptseg(3) =133
deltp1(3) = 0.0227245
deltpn(3) = 0.0227245
npr(1) = 19
deltr1(1) =-0.0037110
deltrn(1) =-0.0077110
npr(2) = 19
deltr1(2) = 0.0006814
deltrn(2) = 0.0013558
npr(3) = 19
deltr1(3) = 0.0022270
deltrn(3) = 0.0075924
tgarde(1) = 0.02000
tgarde(2) = 0.02000
nrelax= 5000
relax= 1.0000E-02
pasmin= 1.0000E-03
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    3
'region:'    1
'nppol='  275  'nprad='   19
  1.73428255E+00 -1.26661991E+00 -6.42818380E-05 -1.63748308E+00 -1.31466987E+00
  1.73365775E+00 -1.26583916E+00 -6.11576007E-05 -1.63317829E+00 -1.31132132E+00
  1.73048338E+00 -1.26187244E+00 -5.74211294E-05 -1.61135882E+00 -1.29432302E+00
  1.72502350E+00 -1.25496396E+00 -7.86104658E-05 -1.57393653E+00 -1.26479812E+00
  1.71730989E+00 -1.24554287E+00 -7.84009985E-05 -1.52211299E+00 -1.22471587E+00
  1.70781830E+00 -1.23368361E+00 -7.81845159E-05 -1.45875137E+00 -1.17456891E+00
  1.69664752E+00 -1.21976034E+00 -7.58388862E-05 -1.38530997E+00 -1.11615256E+00
  1.68397930E+00 -1.20408512E+00 -6.05798700E-05 -1.30351249E+00 -1.05091572E+00
  1.67006561E+00 -1.18690847E+00 -7.75812219E-05 -1.21520697E+00 -9.80102237E-01
  1.65521835E+00 -1.16843888E+00 -5.91697397E-05 -1.12244070E+00 -9.04754246E-01
  1.63956845E+00 -1.14902342E+00 -7.05087474E-05 -1.02630514E+00 -8.26450765E-01
  1.63122837E+00 -1.13868715E+00 -6.43440957E-05 -9.75700097E-01 -7.85131927E-01
  1.62705433E+00 -1.13349230E+00 -5.29172787E-05 -9.50505471E-01 -7.64456752E-01
  1.62495742E+00 -1.13088255E+00 -5.88959341E-05 -9.37870851E-01 -7.54096569E-01
  1.62284042E+00 -1.12824781E+00 -7.28822485E-05 -9.25130442E-01 -7.43655091E-01
  1.62050420E+00 -1.12517918E+00 -7.14541321E-05 -9.10921917E-01 -7.31438252E-01
  1.61635147E+00 -1.12012479E+00 -6.15854840E-05 -8.86222765E-01 -7.11517210E-01
  1.61635147E+00 -1.12012479E+00 -6.15854840E-05 -8.86222765E-01 -7.11517210E-01
  1.61443772E+00 -1.11782334E+00 -6.48115835E-05 -8.74892626E-01 -7.02479822E-01
  1.61206970E+00 -1.11490054E+00 -6.01905803E-05 -8.60811614E-01 -6.90982354E-01
  1.61065972E+00 -1.11309353E+00 -5.72574357E-05 -8.52370162E-01 -6.83849212E-01
  1.60936621E+00 -1.11143580E+00 -5.78440265E-05 -8.44630830E-01 -6.77312018E-01
